Date : 2024-03-12 10:36:14
Directory : e:\MyDrive\my-drive
Total : 103 files,  7749 codes, 985 comments, 1133 blanks, all 9867 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          4 |      4,171 |          0 |        624 |      4,795 |
| Vue                |         24 |      1,794 |        663 |        193 |      2,650 |
| TypeScript         |         58 |      1,163 |        223 |        251 |      1,637 |
| JSON               |          4 |        299 |         67 |          4 |        370 |
| SCSS               |          2 |        102 |          6 |         17 |        125 |
| CSS                |          4 |         93 |         23 |         19 |        135 |
| JavaScript         |          2 |         39 |          1 |          7 |         47 |
| SVG                |          1 |         34 |          0 |          1 |         35 |
| Markdown           |          1 |         22 |          0 |         13 |         35 |
| HTML               |          1 |         15 |          2 |          2 |         19 |
| JSON with Comments |          1 |         11 |          0 |          1 |         12 |
| Ignore             |          1 |          6 |          0 |          1 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |        103 |      7,749 |        985 |      1,133 |      9,867 |
| . (Files)                                                                        |         13 |      4,363 |         68 |        651 |      5,082 |
| src                                                                              |         90 |      3,386 |        917 |        482 |      4,785 |
| src\main                                                                         |         19 |        300 |         67 |         84 |        451 |
| src\main (Files)                                                                 |          1 |         51 |         31 |         13 |         95 |
| src\main\ipc                                                                     |          3 |        110 |         19 |         18 |        147 |
| src\main\model                                                                   |          1 |          9 |          0 |          5 |         14 |
| src\main\model\menu                                                              |          1 |          9 |          0 |          5 |         14 |
| src\main\plugins                                                                 |          3 |         22 |          0 |          9 |         31 |
| src\main\store                                                                   |          1 |          3 |          0 |          3 |          6 |
| src\main\typings                                                                 |          2 |         11 |          1 |          5 |         17 |
| src\main\utils                                                                   |          8 |         94 |         16 |         31 |        141 |
| src\main\utils\api                                                               |          5 |         46 |         16 |         14 |         76 |
| src\main\utils\api (Files)                                                       |          1 |          4 |          0 |          1 |          5 |
| src\main\utils\api\common                                                        |          1 |          6 |          0 |          3 |          9 |
| src\main\utils\api\log                                                           |          1 |         11 |          4 |          3 |         18 |
| src\main\utils\api\os                                                            |          1 |         10 |          4 |          3 |         17 |
| src\main\utils\api\ws                                                            |          1 |         15 |          8 |          4 |         27 |
