Date : 2024-03-12 10:36:14
Directory : e:\MyDrive\my-drive
Total : 46 files,  1070 codes, 789 comments, 133 blanks, all 1992 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\MyDrive\my-drive\src\renderer\src\assets\css\theme.css                        | CSS        |          3 |          2 |          0 |          5 |
| e:\MyDrive\my-drive\src\renderer\src\components\pagination\pagination-1.vue      | Vue        |        139 |          0 |         16 |        155 |
| e:\MyDrive\my-drive\src\renderer\src\composables\common\drag.ts                  | TypeScript |         28 |          0 |          4 |         32 |
| e:\MyDrive\my-drive\src\renderer\src\composables\server\index.ts                 | TypeScript |          0 |         49 |         10 |         59 |
| e:\MyDrive\my-drive\src\renderer\src\plugins\i18n\index.json                     | JSON       |         90 |          0 |          0 |         90 |
| e:\MyDrive\my-drive\src\renderer\src\router\index.ts                             | TypeScript |         16 |          1 |          0 |         17 |
| e:\MyDrive\my-drive\src\renderer\src\store\config\index.ts                       | TypeScript |          5 |          0 |          1 |          6 |
| e:\MyDrive\my-drive\src\renderer\src\store\index.ts                              | TypeScript |          1 |          0 |          0 |          1 |
| e:\MyDrive\my-drive\src\renderer\src\store\server\server-info.ts                 | TypeScript |        146 |         41 |         18 |        205 |
| e:\MyDrive\my-drive\src\renderer\src\typings\cos.d.ts                            | TypeScript |          9 |          0 |          2 |         11 |
| e:\MyDrive\my-drive\src\renderer\src\views\firewall\firewall.vue                 | Vue        |         17 |          0 |          5 |         22 |
| e:\MyDrive\my-drive\src\renderer\src\views\home\components\header.vue            | Vue        |         -6 |          0 |          1 |         -5 |
| e:\MyDrive\my-drive\src\renderer\src\views\home\home.vue                         | Vue        |        -10 |          0 |          0 |        -10 |
| e:\MyDrive\my-drive\src\renderer\src\views\index\components\network-chart.vue    | Vue        |        -36 |        242 |         -1 |        205 |
| e:\MyDrive\my-drive\src\renderer\src\views\index\index.vue                       | Vue        |        -24 |        244 |         -5 |        215 |
| e:\MyDrive\my-drive\src\renderer\src\views\log\components\mysql-log.vue          | Vue        |         96 |          0 |         11 |        107 |
| e:\MyDrive\my-drive\src\renderer\src\views\log\components\nginx-log.vue          | Vue        |        156 |          0 |         11 |        167 |
| e:\MyDrive\my-drive\src\renderer\src\views\log\components\redis-log.vue          | Vue        |          5 |          0 |          3 |          8 |
| e:\MyDrive\my-drive\src\renderer\src\views\log\log.vue                           | Vue        |         -2 |          1 |         -2 |         -3 |
| e:\MyDrive\my-drive\src\renderer\src\views\setting\components\common.vue         | Vue        |          2 |          0 |          0 |          2 |
| e:\MyDrive\my-drive\src\renderer\src\views\setting\components\personal.vue       | Vue        |         12 |          0 |          0 |         12 |
| e:\MyDrive\my-drive\src\renderer\src\views\terminal\components\terminal-item.vue | Vue        |        141 |          0 |          9 |        150 |
| e:\MyDrive\my-drive\src\renderer\src\views\terminal\terminal.vue                 | Vue        |          3 |          1 |          2 |          6 |
| e:\MyDrive\my-drive\src\renderer\src\views\test\test.vue                         | Vue        |          2 |        174 |         -1 |        175 |
| Total                                                                            |            |      1,070 |        789 |        133 |      1,992 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
